State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured	expand_ever	date_adopted	expand_year	expand
New Hampshire	2016	839099	552404	71248	13862	63132	70776	TRUE	2014-08-15	2014	TRUE
New Jersey	2016	5525116	3540830	413274	60251	566470	617691	TRUE	2014-01-01	2014	TRUE
New Mexico	2016	1220748	548478	86446	19242	269799	158900	TRUE	2014-01-01	2014	TRUE
New York	2016	12399261	7029603	953513	112287	2257340	1057074	TRUE	2014-01-01	2014	TRUE
North Carolina	2016	6138694	3290843	675566	99382	460457	929236	FALSE	NA	NA	FALSE
North Dakota	2016	463456	291730	55472	2994	27674	38237	TRUE	2014-01-01	2014	TRUE
Ohio	2016	7018306	4297627	469765	117470	1026345	541645	TRUE	2014-01-01	2014	TRUE
Oklahoma	2016	2316676	1224531	215347	49137	145473	456273	FALSE	NA	NA	FALSE
Oregon	2016	2509060	1385777	243183	25821	395226	218953	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2016	7772430	4792755	712737	101088	917377	582107	TRUE	2015-01-01	2015	TRUE
Rhode Island	2016	665476	387373	66365	9781	91829	40640	TRUE	2014-01-01	2014	TRUE
South Carolina	2016	2951505	1575547	282845	53356	249659	439521	FALSE	NA	NA	FALSE
South Dakota	2016	504919	291530	59752	4582	24796	64445	FALSE	NA	NA	FALSE
Tennessee	2016	4029585	2191680	363842	69482	438364	534785	FALSE	NA	NA	FALSE
Texas	2016	16843883	9061923	1526130	186726	922702	3816473	FALSE	NA	NA	FALSE
Vermont	2016	389462	221536	35361	3496	68942	20983	TRUE	2014-01-01	2014	TRUE
Utah	2016	1789836	1163914	195966	11888	80211	208853	FALSE	NA	NA	FALSE
Virginia	2016	5134008	3027131	491859	66409	243505	615990	TRUE	2019-01-01	2019	FALSE
Washington	2016	4497648	2639732	387035	44321	570332	380054	TRUE	2014-01-01	2014	TRUE
West Virginia	2016	1091444	568314	54196	24949	221680	87568	TRUE	2014-01-01	2014	TRUE
Wisconsin	2016	3522518	2294678	310148	31706	336080	252268	FALSE	NA	NA	FALSE
Wyoming	2016	350428	208666	34619	3138	14863	53672	FALSE	NA	NA	FALSE
Puerto Rico	2016	2049055	617313	200148	61185	829354	183764	NA	NA	NA	FALSE
Alabama	2016	2921503	1606132	267663	64794	210688	404855	FALSE	NA	NA	FALSE
Alaska	2016	457184	237462	25621	2343	42176	81387	TRUE	2015-09-01	2015	TRUE
Arizona	2016	4036165	2077734	361619	49321	647091	554091	TRUE	2014-01-01	2014	TRUE
Arkansas	2016	1757516	901078	165878	40440	246660	204066	TRUE	2014-01-01	2014	TRUE
California	2016	24431848	12951851	2409125	230964	4529147	2521235	TRUE	2014-01-01	2014	TRUE
Colorado	2016	3461702	1984229	354955	33270	420114	353834	TRUE	2014-01-01	2014	TRUE
Delaware	2016	571596	349334	42203	9011	78333	45282	TRUE	2014-01-01	2014	TRUE
District of Columbia	2016	473878	272379	46470	2433	90598	22012	TRUE	2014-01-01	2014	TRUE
Connecticut	2016	2217434	1391256	195772	22122	312147	148754	TRUE	2014-01-01	2014	TRUE
Florida	2016	12137388	5885881	1688597	185504	1037770	2234427	FALSE	NA	NA	FALSE
Georgia	2016	6284159	3421761	606378	88590	384633	1134011	FALSE	NA	NA	FALSE
Idaho	2016	974803	531287	132530	9486	54716	145700	FALSE	NA	NA	FALSE
Hawaii	2016	832435	518667	55268	6508	96339	40950	TRUE	2014-01-01	2014	TRUE
Illinois	2016	7892615	4832555	706700	83264	1005611	729815	TRUE	2014-01-01	2014	TRUE
Indiana	2016	4003711	2467830	315919	64521	387034	432020	TRUE	2015-02-01	2015	TRUE
Iowa	2016	1875205	1201461	178496	13122	197428	112350	TRUE	2014-01-01	2014	TRUE
Kansas	2016	1718393	1046913	180245	21114	76240	215770	FALSE	NA	NA	FALSE
Kentucky	2016	2679027	1458130	178732	62889	495818	189249	TRUE	2014-01-01	2014	TRUE
Louisiana	2016	2807699	1435742	259789	54487	345175	433797	TRUE	2016-07-01	2016	TRUE
Maine	2016	812942	462152	81088	9828	77388	94113	TRUE	2019-01-10	2019	FALSE
Maryland	2016	3721766	2312199	306286	38470	399053	310249	TRUE	2014-01-01	2014	TRUE
Massachusetts	2016	4324702	2717779	330604	26038	722441	154861	TRUE	2014-01-01	2014	TRUE
Michigan	2016	6059622	3577857	497331	75336	905329	459651	TRUE	2014-04-01	2014	TRUE
Minnesota	2016	3375664	2180323	311557	31692	414553	180240	TRUE	2014-01-01	2014	TRUE
Mississippi	2017	1705865	869484	136339	31861	142797	312984	FALSE	NA	NA	FALSE
Missouri	2017	3561566	2168093	315799	70523	212685	469272	FALSE	NA	NA	FALSE
Montana	2017	610502	322373	75447	6356	71006	72773	TRUE	2016-01-01	2016	TRUE
Nebraska	2017	1109152	704285	118254	9961	44490	129209	FALSE	NA	NA	FALSE
Nevada	2017	1788916	1012006	126079	24223	207873	269150	TRUE	2014-01-01	2014	TRUE
New Hampshire	2017	821660	551823	63415	13253	61319	69718	TRUE	2014-08-15	2014	TRUE
New Jersey	2017	5431362	3500475	402761	65171	541496	595436	TRUE	2014-01-01	2014	TRUE
New Mexico	2017	1186640	519838	79330	22053	267680	156958	TRUE	2014-01-01	2014	TRUE
New York	2017	12138390	6967505	922025	111793	2205236	973576	TRUE	2014-01-01	2014	TRUE
North Carolina	2017	6030609	3312056	594817	94860	434341	950074	FALSE	NA	NA	FALSE
North Dakota	2017	447988	285275	52775	3082	24446	41473	TRUE	2014-01-01	2014	TRUE
Ohio	2017	6855594	4206315	437031	115179	990687	551771	TRUE	2014-01-01	2014	TRUE
Oklahoma	2017	2248268	1205788	182645	45291	126677	459030	FALSE	NA	NA	FALSE
Oregon	2017	2477138	1372027	233604	27178	375378	245261	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2017	7570498	4752790	606679	132486	895028	557577	TRUE	2015-01-01	2015	TRUE
Rhode Island	2017	650045	383148	57178	6919	103241	43023	TRUE	2014-01-01	2014	TRUE
South Carolina	2017	2910554	1561491	248966	57915	237894	478090	FALSE	NA	NA	FALSE
South Dakota	2017	491664	295325	55542	5076	22409	63015	FALSE	NA	NA	FALSE
Tennessee	2017	3970871	2216826	315994	69431	390837	554489	FALSE	NA	NA	FALSE
Texas	2017	16685368	9054247	1307581	189615	857236	3919977	FALSE	NA	NA	FALSE
Vermont	2017	376724	209390	32209	5022	66885	25640	TRUE	2014-01-01	2014	TRUE
Utah	2017	1773582	1155274	201533	13077	70935	207440	FALSE	NA	NA	FALSE
Virginia	2017	5029841	3002022	457411	68724	230583	616098	TRUE	2019-01-01	2019	FALSE
Washington	2017	4461995	2651429	361258	43710	563032	392436	TRUE	2014-01-01	2014	TRUE
West Virginia	2017	1045864	552237	52362	26241	203663	97825	TRUE	2014-01-01	2014	TRUE
Wisconsin	2017	3434358	2277890	275942	31458	313205	253109	FALSE	NA	NA	FALSE
Wyoming	2017	334831	194847	30974	3648	16256	55589	FALSE	NA	NA	FALSE
Puerto Rico	2017	1951365	549427	207897	67673	767301	197676	NA	NA	NA	FALSE
Alabama	2017	2841107	1560958	232800	65309	208743	409792	FALSE	NA	NA	FALSE
Alaska	2017	440283	211239	21612	2654	56350	78092	TRUE	2015-09-01	2015	TRUE
Arizona	2017	3989659	2118735	311379	51031	595829	552075	TRUE	2014-01-01	2014	TRUE
Arkansas	2017	1717192	873159	151195	40648	239496	197155	TRUE	2014-01-01	2014	TRUE
California	2017	24069284	13033901	2324634	235939	4350739	2438383	TRUE	2014-01-01	2014	TRUE
Colorado	2017	3421064	1968563	336125	29423	415433	350903	TRUE	2014-01-01	2014	TRUE
Delaware	2017	559655	356274	37356	7945	61209	41996	TRUE	2014-01-01	2014	TRUE
